"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MARESI10052"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10052"	"MARESI10052.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10057"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10057"	"MARESI10057.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10062"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10062"	"MARESI10062.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10067"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10067"	"MARESI10067.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10232"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10232"	"MARESI10232.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10336"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10336"	"MARESI10336.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10341"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10341"	"MARESI10341.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10346"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10346"	"MARESI10346.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10511"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10511"	"MARESI10511.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MARESI10516"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Waters ACQUITY UPLC PDA Detector"	""	""	"210-450 nm"	""	""	"2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"MARESI10516"	"MARESI10516.zip"	"Data transformation"	""	"derived spectral data files.xls"	"Metabolite identification"	""	"m_barley-drought-2010_metabolite profiling_mass spectrometry_v2_maf.tsv"
