Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sequencing type]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[sequencing type]
Cebpa_HPC7	ERS946152	SAMEA3639003	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Cebpa_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Cebpa_HPC7	sequencing assay	ERX1181270	Cebpa_HPC7.bam	Cebpa_HPC7.bam	ERR1101762	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/002/ERR1101762/ERR1101762.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Cebpa_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.2.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Cebpa_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
Cebpb_HPC7	ERS939090	SAMEA3631941	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Cebpb_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Cebpb_HPC7	sequencing assay	ERX1167940	Cebpb_HPC7.fq.gz	Cebpb_HPC7.fq.gz	ERR1088371	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1088371/ERR1088371.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Cebpb_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.2.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Cebpb_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
cFos_HPC7	ERS939091	SAMEA3631942	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	cFos_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	cFos_HPC7	sequencing assay	ERX1167941	cFos_HPC7.fq.gz	cFos_HPC7.fq.gz	ERR1088372	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/002/ERR1088372/ERR1088372.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	cFos_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.2.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	cFos_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
cMyc_HPC7	ERS939092	SAMEA3631943	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	cMyc_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	cMyc_HPC7	sequencing assay	ERX1167942	cMyc_HPC7.fq.gz	cMyc_HPC7.fq.gz	ERR1088373	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1088373/ERR1088373.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	cMyc_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.2.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	cMyc_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
DNase1_HPC7_rep1	ERS939093	SAMEA3631944	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	DNase1_HPC7_rep1	SINGLE	DNase	GENOMIC	not applicable	DNase-Hypersensitivity	P-MTAB-47027	Babraham Institute	DNase1_HPC7_rep1	sequencing assay	ERX1167943	DNase1_HPC7_rep1.fq.gz	DNase1_HPC7_rep1.fq.gz	ERR1088374	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR1088374/ERR1088374.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	DNase1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.3.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47033	DNase1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
DNase1_HPC7_rep2	ERS939094	SAMEA3631945	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	DNase1_HPC7_rep2	SINGLE	DNase	GENOMIC	not applicable	DNase-Hypersensitivity	P-MTAB-47027	Babraham Institute	DNase1_HPC7_rep2	sequencing assay	ERX1167944	DNase1_HPC7_rep2.fq.gz	DNase1_HPC7_rep2.fq.gz	ERR1088375	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR1088375/ERR1088375.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	DNase1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.3.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47033	DNase1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
DNase1_HPC7_rep3	ERS939095	SAMEA3631946	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	DNase1_HPC7_rep3	SINGLE	DNase	GENOMIC	not applicable	DNase-Hypersensitivity	P-MTAB-47027	Babraham Institute	DNase1_HPC7_rep3	sequencing assay	ERX1167945	DNase1_HPC7_rep3.fq.gz	DNase1_HPC7_rep3.fq.gz	ERR1088376	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/006/ERR1088376/ERR1088376.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	DNase1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.3.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47033	DNase1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
DNase1_HPC7_rep4	ERS939096	SAMEA3631947	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	DNase1_HPC7_rep4	SINGLE	DNase	GENOMIC	not applicable	DNase-Hypersensitivity	P-MTAB-47027	Babraham Institute	DNase1_HPC7_rep4	sequencing assay	ERX1167946	DNase1_HPC7_rep4.fq.gz	DNase1_HPC7_rep4.fq.gz	ERR1088377	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1088377/ERR1088377.fastq.gz	P-MTAB-47028	P-MTAB-47029	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	DNase1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.3.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47031	P-MTAB-47033	DNase1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
E2f4_HPC7	ERS939097	SAMEA3631948	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	E2f4_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	E2f4_HPC7	sequencing assay	ERX1167947	E2f4_HPC7.fq.gz	E2f4_HPC7.fq.gz	ERR1088378	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1088378/ERR1088378.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	E2f4_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.4.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	E2f4_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
Egr1_HPC7	ERS939098	SAMEA3631949	Mus musculus	HPC-7	Hi-C sequencing	haematopoietic stem/progenitor cell	cell	P-MTAB-47021	P-MTAB-47023	P-MTAB-47025	Egr1_HPC7	SINGLE	ChIP	GENOMIC	not applicable	ChIP-Seq	P-MTAB-47027	Babraham Institute	Egr1_HPC7	sequencing assay	ERX1167948	Egr1_HPC7.fq.gz	Egr1_HPC7.fq.gz	ERR1088379	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/009/ERR1088379/ERR1088379.fastq.gz	P-MTAB-47028	P-MTAB-47030	P-MTAB-47031	P-MTAB-47032	P-MTAB-47033	Egr1_HPC7.bw	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.4.zip	P-MTAB-47028	P-MTAB-47029	P-MTAB-47030	P-MTAB-47032	P-MTAB-47033	Egr1_HPC7.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3954/E-MTAB-3954.processed.1.zip	Hi-C sequencing
