"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"12152gf_28"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_28"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_28"	"12152gf_28"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_36"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_36"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_36"	"12152gf_36"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_40"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_40"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_40"	"12152gf_40"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_48"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_48"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_48"	"12152gf_48"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_51"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_51"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_51"	"12152gf_51"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_21"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_21"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_21"	"12131gx_21"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_28"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_28"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_28"	"12131gx_28"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_35"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_35"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_35"	"12131gx_35"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_43"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_43"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_43"	"12131gx_43"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_51"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_51"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_51"	"12131gx_51"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
