"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Description]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning1"	""	""	"Sample collection"	"FBS_QC1_01"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning2"	""	""	"Sample collection"	"FBS_QC1_02"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning3"	""	""	"Sample collection"	"FBS_QC1_03"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning4"	""	""	"Sample collection"	"FBS_QC1_04"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning5"	""	""	"Sample collection"	"FBS_QC1_05"
"FBS_QC"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Conditioning6"	""	""	"Sample collection"	"FBS_QC1_06"
"PPP_Mix"	"Standard"	""	""	"Chemical"	""	""	"Pentose Phosphate Pathway Mix"	""	""	"Sample collection"	"PPP_Mix"
"Staphylococcus aureus culture 3"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"culture supernatant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002217"	"Saph Media"	""	""	"Sample collection"	"SAM3"
"Staphylococcus aureus culture 2"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"intracellular part"	"EFO"	"http://purl.obolibrary.org/obo/GO_0044424"	"Saph Cells"	""	""	"Sample collection"	"SAC2"
"Culture Media 6"	"Culture Media"	"RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D003470"	"media"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000579"	"Media Only"	""	""	"Sample collection"	"MO6"
