"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"12152gf_9"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_9"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_9"	"12152gf_9"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_12"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_12"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_12"	"12152gf_12"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_18"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_18"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_18"	"12152gf_18"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12152gf_24"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12152gf_24"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12152gf_24"	"12152gf_24"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_25"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_25"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_25"	"12131gx_25"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_32"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_32"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_32"	"12131gx_32"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_39"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_39"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_39"	"12131gx_39"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_47"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_47"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_47"	"12131gx_47"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_55"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_55"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_55"	"12131gx_55"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
"12131gx_59"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"12131gx_59"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"12131gx_59"	"12131gx_59"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic profiles in long day, before bolting, single leaf analysis, Arabidopsis thaliana_v2_maf.tsv"
