"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ABCC6 genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Ectonucleotidase inhibition]"	"Term Source REF"	"Term Accession Number"
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_1"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/7"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_2"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/8"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_3"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/9"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_4"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_5"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/11"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_6"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/12"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_KO_7"	"Female"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/13"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_KO_1"	"Male"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/14"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_KO_2"	"Male"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/15"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_KO_3"	"Male"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/16"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_KO_4"	"Male"	""	""	"-/-"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/17"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_WT_1"	"Female"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/18"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_WT_2"	"Female"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/19"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_WT_3"	"Female"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/20"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_WT_4"	"Female"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/21"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_WT_5"	"Female"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/22"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_WT_1"	"Male"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/23"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_WT_2"	"Male"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/24"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_WT_3"	"Male"	""	""	"+/+"	""	""	""	""	""
"Plasma"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/25"	"EFO"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M_WT_4"	"Male"	""	""	"+/+"	""	""	""	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(control)-1"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
"Cell culture medium"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK293(control)-2"	""	""	""	"Endogenous background"	""	""	"Control"	""	""
