"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[PARP inhibitor concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Radiation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_C1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_C2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_C3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_PI1"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_PI2"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_PI3"	"50"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_R1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_R2"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCC-1937 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003323"	"Sample collection"	"HCC1937_R3"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"8"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
"Cancer cell lysates"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MDA-MB-231 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000815"	"Sample collection"	"MDAMB231_C1"	"0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"	"0"	"gray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000134"
