"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Caloric restriction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"1"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"2"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"3"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"4"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"5"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"6"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"7"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"8"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"9"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"10"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"11"	"40"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"12"	"40"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"serum"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"13"	"40"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
