"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[growth conditon]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replication]"	"Term Source REF"	"Term Accession Number"	"Factor Value[harvested]"	"Unit"	"Term Source REF"	"Term Accession Number"
"SBEP_STM_LB_1_1"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_1_1"	"Luria-Bertani (LB) medium"	""	""	"1_1"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LB_1_2"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_1_2"	"Luria-Bertani (LB) medium"	""	""	"1_2"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LB_2_1"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_2_1"	"Luria-Bertani (LB) medium"	""	""	"2_1"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LB_2_2"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_2_2"	"Luria-Bertani (LB) medium"	""	""	"2_2"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LB_3_1"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_3_1"	"Luria-Bertani (LB) medium"	""	""	"3_1"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LB_3_2"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LB_3_2"	"Luria-Bertani (LB) medium"	""	""	"3_2"	""	""	">2.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LPM20_1_1"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LPM20_1_1"	"Low pH, low magnesium, low iron (LPM) medium 20 h"	""	""	"1_1"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LPM20_1_2"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LPM20_1_2"	"Low pH, low magnesium, low iron (LPM) medium 20 h"	""	""	"1_2"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LPM20_2_1"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LPM20_2_1"	"Low pH, low magnesium, low iron (LPM) medium 20 h"	""	""	"2_1"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"SBEP_STM_LPM20_2_2"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_90371"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SBEP_STM_LPM20_2_2"	"Low pH, low magnesium, low iron (LPM) medium 20 h"	""	""	"2_2"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
