"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Peturbation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Point]"	"Unit"	"Term Source REF"	"Term Accession Number"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0hr A"	"cancer cell"	""	""	"control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0hr B"	"cancer cell"	""	""	"control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0hr C"	"cancer cell"	""	""	"control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 2hr A"	"cancer cell"	""	""	"control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 2hr B"	"cancer cell"	""	""	"control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 2hr C"	"cancer cell"	""	""	"control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 4hr A"	"cancer cell"	""	""	"control"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 4hr B"	"cancer cell"	""	""	"control"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 4hr C"	"cancer cell"	""	""	"control"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Control 8hr A"	"cancer cell"	""	""	"control"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
