"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"HAA_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAA_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAA_S"	"SAMN07448969_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAB_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAB_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAB_S"	"SAMN07448970_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAC_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAC_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAC_S"	"SAMN07448971_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAD_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAD_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAD_S"	"SAMN07448972_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAE_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAE_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAE_S"	"SAMN07448973_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAF_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAF_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAF_S"	"SAMN07448974_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAG_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAG_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAG_S"	"SAMN07448975_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAH_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAH_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAH_S"	"SAMN07448976_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAI_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAI_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAI_S"	"SAMN07448977_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
"HAP_S"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAP_S"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAP_S"	"SAMN07448984_S.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_SERUM_mass_spectrometry_v2_maf.tsv"
