"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"HA"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HA"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HA"	"SAMN07448968.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAA"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAA"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAA"	"SAMN07448969.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAB"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAB"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAB"	"SAMN07448970.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAC"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAC"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAC"	"SAMN07448971.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAD"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAD"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAD"	"SAMN07448972.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAE"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAE"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAE"	"SAMN07448973.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAF"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAF"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAF"	"SAMN07448974.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAG"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAG"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAG"	"SAMN07448975.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAH"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAH"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAH"	"SAMN07448976.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAI"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAI"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAI"	"SAMN07448977.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
