"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"2.DM.Control.1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.Control.1"	"2.DM.Control.1_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.Control.3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.Control.3"	"2.DM.Control.3_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.Control.2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.Control.2"	"2.DM.Control.2_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.Control.n4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.Control.n4"	"2.DM.Control.n4_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.Control.n5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.Control.n5"	"2.DM.Control.n5_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.WT.Control.1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.WT.Control.1"	"2.WT.Control.1_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.WT.Control.3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.WT.Control.3"	"2.WT.Control.3_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.WT.Control.n3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.WT.Control.n3"	"2.WT.Control.n3_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.WT.Control.2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.WT.Control.2"	"2.WT.Control.2_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.WT.Control.n5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.WT.Control.n5"	"2.WT.Control.n5_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.D.2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.D.2"	"2.DM.D.2_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.D.3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.D.3"	"2.DM.D.3_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
"2.DM.D.n5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 7890A GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"35-800"	"LECO Pegasus HT TOFMS"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2.DM.D.n5"	"2.DM.D.n5_SL.peg"	"Data transformation"	""	"processedGCMSData.txt"	"Metabolite identification"	""	"m_mtbls355_GC_MS_v2_maf.tsv"
