"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[methanol extract]"	"Unit"	"Term Source REF"	"Term Accession Number"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-1"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"1"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-2"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"2"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-3"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"3"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-4"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"4"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-5"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"5"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI+-6"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"6"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--7"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"1"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--8"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"2"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--9"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"3"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--10"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"4"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--11"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"5"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-RP-ESI--12"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"6"	""	""	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-13"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"1"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-14"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"2"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-15"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"3"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-16"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"4"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"cj"	"Campylobacter jejuni"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/197"	"Campylobacter jejuni subsp. jejuni NCTC 11168"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_192222"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cj-11168-HILIC-ESI+-17"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"5"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
