Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Raw Spectral Data File	Protocol REF	Protein Assignment File	Post Translational Modification Assignment File	Peptide Assignment File	Protocol REF	Derived Spectral Data File
C-0.1-aliquot11	protein extraction	C-0.1	ITRAQ labeling	Pool1	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
C-0.1-aliquot11	protein extraction	C-0.1	ITRAQ labeling	JC_C-0.1	iTRAQ reagent 116	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
C-0.2-aliquot11	protein extraction	C-0.2	ITRAQ labeling	Pool2	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
C-0.2-aliquot11	protein extraction	C-0.2	ITRAQ labeling	JC_C-0.2	iTRAQ reagent 117	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
N-0.1-aliquot11	protein extraction	N-0.1	ITRAQ labeling	Pool1	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
N-0.1-aliquot11	protein extraction	N-0.1	ITRAQ labeling	JC_N-0.1	iTRAQ reagent 115	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
N-0.2-aliquot11	protein extraction	N-0.2	ITRAQ labeling	Pool2	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
N-0.2-aliquot11	protein extraction	N-0.2	ITRAQ labeling	JC_N-0.2	iTRAQ reagent 116	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
P-0.1-aliquot11	protein extraction	P-0.1	ITRAQ labeling	JC_P-0.1	iTRAQ reagent 115	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
P-0.1-aliquot11	protein extraction	P-0.1	ITRAQ labeling	Pool2	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8762.xml
P-0.2-aliquot11	protein extraction	P-0.2	ITRAQ labeling	JC_P-0.2	iTRAQ reagent 116	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8763.xml
P-0.2-aliquot11	protein extraction	P-0.2	ITRAQ labeling	Pool3	iTRAQ reagent 117	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8763.xml
S-0.1-aliquot11	protein extraction	S-0.1	ITRAQ labeling	JC_S-0.1	iTRAQ reagent 117	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
S-0.1-aliquot11	protein extraction	S-0.1	ITRAQ labeling	Pool1	iTRAQ reagent 114	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8761.xml
S-0.2-aliquot11	protein extraction	S-0.2	ITRAQ labeling	JC_S-0.2	iTRAQ reagent 115	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8763.xml
S-0.2-aliquot11	protein extraction	S-0.2	ITRAQ labeling	Pool3	iTRAQ reagent 117	unknown	spectrum.mzdata	unknown	proteins.csv	ptms.csv	peptides.csv	unknown	PRIDE_Exp_Complete_Ac_8763.xml
