Sample Name	Protocol REF	Parameter Value[standard volume]	Unit	Term Source REF	Term Accession Number	Parameter Value[sample volume]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Raw Spectral Data File
C-0.07-aliquot10	metabolite extraction	4	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	200	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot10	unknown	JIC3_Carbon_0.07_Internal_3_1.txt
C-0.07-aliquot5	metabolite extraction	20	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	1000	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot5	unknown	JIC55_Carbon_0.07_External_1_3.txt
C-0.07-aliquot5	metabolite extraction	20	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	1000	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot5	unknown	JIC55_Carbon_0.07_External_1_2.txt
C-0.07-aliquot5	metabolite extraction	20	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	1000	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot5	unknown	JIC55_Carbon_0.07_External_1_1.txt
C-0.07-aliquot6	metabolite extraction	20	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	1000	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot6	unknown	JIC56_Carbon_0.07_External_2_1.txt
C-0.07-aliquot7	metabolite extraction	20	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	1000	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot7	unknown	JIC57_Carbon_0.07_External_3_1.txt
C-0.07-aliquot8	metabolite extraction	4	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	200	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot8	unknown	JIC1_Carbon_0.07_Internal_1_2.txt
C-0.07-aliquot8	metabolite extraction	4	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	200	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot8	unknown	JIC1_Carbon_0.07_Internal_1_1.txt
C-0.07-aliquot8	metabolite extraction	4	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	200	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot8	unknown	JIC1_Carbon_0.07_Internal_1_3.txt
C-0.07-aliquot9	metabolite extraction	4	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	200	microliter	UO	http://purl.obolibrary.org/obo/UO_0000101	C-0.07-aliquot9	unknown	JIC2_Carbon_0.07_Internal_2_1.txt
