Source Name	Characteristics[genotype]	Characteristics[strain]	Characteristics[organism]	Term Source REF	Protocol REF	Sample Name	Material Type	Factor Value[limiting nutrient]	Factor Value[rate]	Unit
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot2		carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot1		carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot10	internal	carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot9	internal	carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot3		carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot4		carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot5	external	carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot7	external	carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot8	internal	carbon	0.07	l/hour
culture1	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	C-0.07-aliquot6	external	carbon	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot5	external	sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot7	external	sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot4		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot2		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot3		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot9		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot1		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot8		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot10		sulphur	0.07	l/hour
culture10	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.07-aliquot6	external	sulphur	0.07	l/hour
culture11	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.1-aliquot1		sulphur	0.1	l/hour
culture11	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.1-aliquot7		sulphur	0.1	l/hour
culture11	KanMx4 MATa/MATalpha ura3-52/ura3-52 leu2-1/+trp1-63/+his3-D200/+ hoD KanMx4/hoD	FY1679	Saccharomyces cerevisiae (Baker's yeast)	NEWT	growth protocol	S-0.1-aliquot5	external	sulphur	0.1	l/hour
