"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A14 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A14 10cm S3"	"A14 10cm S3-profile.ibd"	"A14 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A14 10CM 3 BOTTOM - 2014-07-10 13.09.19.ndpi"	""	""	"A14 10cm S3.jpg"	""	""	"Data transformation"	""	"A14 10cm S3-profile.imzML"	"A14 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A14 5cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A14 5cm S3"	"A14 5cm S3-profile.ibd"	"A14 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A14 5CM NORMAL 3 TOP - 2014-08-13 17.04.39.ndpi"	""	""	"A14 5cm S3.jpg"	""	""	"Data transformation"	""	"A14 5cm S3-profile.imzML"	"A14 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A14 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A14 CT S2"	"A14 CT S2-profile.ibd"	"A14 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A14C2 - 2012-08-07 09.58.58.ndpi"	""	""	"A14 centre S2 80um.jpg"	""	""	"Data transformation"	""	"A14 CT S2-profile.imzML"	"A14 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A15 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A15 10cm S3"	"A15 10cm S3-profile.ibd"	"A15 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A15 10CM 3 TOP - 2014-08-13 17.42.02.ndpi"	""	""	"A15 10cm S3.jpg"	""	""	"Data transformation"	""	"A15 10cm S3-profile.imzML"	"A15 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A15 centre S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A15 centre S5"	"A15 centre S5-profile.ibd"	"A15 centre S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A15 Centre (5) - 2013-07-17 12.41.42.ndpi"	""	""	"A15 CT S5.jpg"	""	""	"Data transformation"	""	"A15 centre S5-profile.imzML"	"A15 centre S5-centroid.imzML"	"Metabolite identification"	""	""
"A15 junction S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A15 junction S4"	"A15 junction S4-profile.ibd"	"A15 junction S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A15 JUNCTION (4) - 2014-05-27 16.00.50.ndpi"	""	""	"A15 jcn S4.jpg"	""	""	"Data transformation"	""	"A15 junction S4-profile.imzML"	"A15 junction S4-centroid.imzML"	"Metabolite identification"	""	""
"A17 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A17 10cm S4"	"A17 10cm S4-profile.ibd"	"A17 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A17 10cm - 2013-07-17 16.33.59.ndpi"	""	""	"A17 10cm S4.jpg"	""	""	"Data transformation"	""	"A17 10cm S4-profile.imzML"	"A17 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A17 5cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A17 5cm S3"	"A17 5cm S3-profile.ibd"	"A17 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A17 5CM 3 TOP - 2014-07-10 12.32.28.ndpi"	""	""	"A17 5cm S3.jpg"	""	""	"Data transformation"	""	"A17 5cm S3-profile.imzML"	"A17 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A17 CT S6"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A17 CT S6"	"A17 CT S6-profile.ibd"	"A17 CT S6-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A17C6 - 2012-08-06 17.59.46.ndpi"	""	""	"A17 centre S6 150um.jpg"	""	""	"Data transformation"	""	"A17 CT S6-profile.imzML"	"A17 CT S6-centroid.imzML"	"Metabolite identification"	""	""
"A20 CT S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A20 CT S5"	"A20 CT S5-profile.ibd"	"A20 CT S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A20 centre (5) - 2013-07-17 14.11.20.ndpi"	""	""	"A20 centre.jpg"	""	""	"Data transformation"	""	"A20 CT S5-profile.imzML"	"A20 CT S5-centroid.imzML"	"Metabolite identification"	""	""
