"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Phenotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Geographic location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time of first grafting]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age at time of first grafting]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dieback score]"	"Term Source REF"	"Term Accession Number"
"HGH-A1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14164C"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-A2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14164C"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-A3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14164C"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-B1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14184A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-B2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14184A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-B3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14184A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-C1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14193A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-C2"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14193A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-C3"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14193A"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"5"	""	""
"HGH-D1"	"Fraxinus excelsior"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/38873"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"14198B"	"low susceptibility to ash dieback disease (ADB)"	""	""	"Denmark"	""	""	"2012"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0"	""	""
