"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"17"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"17"	"17_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"16"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"16"	"16_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"18"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"18"	"18_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"19"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"19"	"19_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"20"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"20"	"20_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"15"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"15"	"15_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"81"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"81"	"81_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"9"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"9"	"09_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"10"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"10"	"10_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"11"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"11"	"11_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"12"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"12"	"12_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"2"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"2"	"02_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
"14"	"Extraction"	"borate buffer (pH 8.5)/formic acid"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"AccQ-Tag Ultra C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"positive"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"14"	"14_amines.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_amine_mass_spectrometry_v2_maf.tsv"
