"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"C01.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C01.R1"	"012_CRa_H9M5_M470_C01_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"C03.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C03.R1"	"025_CRa_H9M5_M470_C03_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"C14.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C14.R1"	"030_CRa_H9M5_M470_C14_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"L01.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L01.R1"	"034_CRa_H9M5_M470_L01_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"L03.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L03.R1"	"040_CRa_H9M5_M470_L03_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"L14.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L14.R1"	"044_CRa_H9M5_M470_L14_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"H01.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H01.R1"	"006_CRa_H9M5_M470_H01_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"H03.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H03.R1"	"017_CRa_H9M5_M470_H03_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"H14.R1"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H14.R1"	"008_CRa_H9M5_M470_H14_K1_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
"C01.R2"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C01.R2"	"035_CRa_H9M5_M470_C01_K2_low_neg.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	"m_NEG_nephron_toxicity_mass_spectrometry_v2_maf.tsv"
