"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"antheraxanthin"	"Extraction"	""	""	"antheraxanthin"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"antheraxanthin"	"sgstd1581.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"lutein"	"Extraction"	""	""	"lutein"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"lutein"	"sgstd1593.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"violaxanthin"	"Extraction"	""	""	"violaxanthin"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"violaxanthin"	"sgstd1596.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"neoxanthin"	"Extraction"	""	""	"neoxanthin"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"neoxanthin"	"sgstd1605.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"betacarotene"	"Extraction"	""	""	"betacarotene"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"betacarotene"	"sgstd1946.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"SIni_C_038"	"Extraction"	""	""	"SIni_C_038"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIni_C_038"	"AlsaceSamples1766.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"SIni_B_040"	"Extraction"	""	""	"SIni_B_040"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIni_B_040"	"AlsaceSamples1772.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"SIni_A_057"	"Extraction"	""	""	"SIni_A_057"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIni_A_057"	"AlsaceSamples1825.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"SIPA_C_017"	"Extraction"	""	""	"SIPA_C_017"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIPA_C_017"	"AlsaceSamples1728.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
"SIPA_B_037"	"Extraction"	""	""	"SIPA_B_037"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA eλ Detector"	""	""	"250-600 nm"	""	""	"1.2 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"SIPA_B_037"	"AlsaceSamples1763.arw"	"Data transformation"	""	""	"Metabolite identification"	""	""
