"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Ionisation]"	"Term Source REF"	"Term Accession Number"
"1-methyl-alpha-Glucopyranoside"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"1-methyl-alpha-Glucopyranoside"	"1-methyl-alpha-Glucopyranoside FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2,5 dihydroxy benzoic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2,5 dihydroxy benzoic acid"	"2,5 dihydroxy benzoic acid_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2-Amino butyric acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2-Amino butyric acid"	"2-Amino butyric acid.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2-deoxy-galactose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2-deoxy-galactose"	"2-deoxy-galactose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2-deoxy-glucose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2-deoxy-glucose"	"2-deoxy-glucose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2-deoxy-ribose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2-deoxy-ribose"	"2-deoxy-ribose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"2OH-butyrate"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"2OH-butyrate"	"2OH-butyrate_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"3-Amino butyric acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"3-Amino butyric acid"	"3-Amino butyric acid.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"3-O-methyl-glucose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"3-O-methyl-glucose"	"3OH-butyrate_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"3OH-butyrate"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"3OH-butyrate"	"3-O-methyl-glucose.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
