Sample Name	Comment[Duplicate samples yes or no]	Comment[technology type]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Comment[Haplotype reconstruction]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[haplotype dosage]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Comment[HS.hdf5]
#founders, SNP typed using Affymetrix RATDIV SNP array																													
ACI/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping1	RATDIV_ACIN_HSF_A08P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Bn/SsN_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping2	RATDIV_MDC_06_99_BNHSF_A01Plate32.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2333	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
BUF/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping3	RATDIV_BUFN_HSF_A04P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2334	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
F344/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping4	RATDIV_F344N_HSF_A03P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2335	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
M520/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping5	RATDIV_M520N_HSF_A01P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2336	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
MR/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping6	RATDIV_MRN_HSF_A06P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2337	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
WKY/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping7	RATDIV_WKYN_HSF_A02P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.1.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2338	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
WN/N_2	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping8	RATDIV_WNN_HSF_A05P2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.2.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2339	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
#heterogeneous stock, SNP typed using Affymetrix RATDIV SNP array																													
