"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[harvesting time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[siRNA]"	"Term Source REF"	"Term Accession Number"
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-0"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-1"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-2"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-3"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-4"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-5"	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-6"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-7"	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-8"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
"U2OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Neg-9"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"AllStars Negative control "	""	""
