"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Bmal-0"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-0"	"Bmal-0 technical replicate 1"	""	""	"Sai_KD_June_15_15_084.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-0"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-0(2)"	"Bmal-0 technical replicate 2"	""	""	"Sai_KD_June_15_15_176.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-1"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-1"	"Bmal-1 technical replicate 1"	""	""	"Sai_KD_June_15_15_016.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-1"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-1(2)"	"Bmal-1 technical replicate 2"	""	""	"Sai_KD_June_15_15_267.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-2"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-2"	"Bmal-2 technical replicate 1"	""	""	"Sai_KD_June_15_15_026.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-2"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-2(2)"	"Bmal-2 technical replicate 2"	""	""	"Sai_KD_June_15_15_180.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-3"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-3"	"Bmal-3 technical replicate 1"	""	""	"Sai_KD_June_15_15_035.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-3"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-3(2)"	"Bmal-3 technical replicate 2"	""	""	"Sai_KD_June_15_15_161.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-4"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-4"	"Bmal-4 technical replicate 1"	""	""	"Sai_KD_June_15_15_133.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-4"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-4(2)"	"Bmal-4 technical replicate 2"	""	""	"Sai_KD_June_15_15_232.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
