"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Euglena strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Colour]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Anoxia incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Carbonate addition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Culture days before anoxia incubation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D0-1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D0-2"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D0-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D4-1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D4-2"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D4-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D24-1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D24-2"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 2D24-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 4D0-1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 4D0-2"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 4D0-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"EG 4D4-1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
