"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"mtA04"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA04"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mta05"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mta05"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mtA33"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA33"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mtA50"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA50"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mtA51"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA51"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mtA54"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA54"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"mtA90"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"mtA90"	"gene overexpression"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002442"
"WTA01"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA01"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA02"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA02"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA38"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA38"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA41"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA41"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA50"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA50"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA77"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA77"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
"WTA81"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"WTA81"	"Col-0"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005148"
