"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[material sample]"	"Term Source REF"	"Term Accession Number"
"Person1_Blood"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person1_Blood_POS"	"Person1_Blood_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person1_Plasma"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person1_Plasma_POS"	"Person1_Plasma_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person1_RBC"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person1_RBC_POS"	"Person1_RBC_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Person2_Blood"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person2_Blood_POS"	"Person2_Blood_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person2_Plasma"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person2_Plasma_POS"	"Person2_Plasma_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person2_RBC"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person2_RBC_POS"	"Person2_RBC_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Person3_Blood"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person3_Blood_POS"	"Person3_Blood_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person3_Plasma"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person3_Plasma_POS"	"Person3_Plasma_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person3_RBC"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person3_RBC_POS"	"Person3_RBC_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"
"Person2_WBC"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person2_WBC_POS"	"Person2_WBC_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"
"Person3_WBC"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person3_WBC_POS"	"Person3_WBC_POS.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls87_metabolite profiling_mass spectrometry_v2_maf.tsv"	"leukocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000751"
