"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-1"	"Control group"	""	""
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-2"	"Control group"	""	""
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-3"	"Control group"	""	""
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-4"	"Control group"	""	""
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-5"	"Control group"	""	""
"C-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C-P-6"	"Control group"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-1"	"Physioloigcal Model"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-2"	"Physioloigcal Model"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-3"	"Physioloigcal Model"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-4"	"Physioloigcal Model"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-5"	"Physioloigcal Model"	""	""
"M-P"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"M-P-6"	"Physioloigcal Model"	""	""
"C-U"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C-U-1"	"Control group"	""	""
"C-U"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C-U-2"	"Control group"	""	""
"C-U"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"C-U-3"	"Control group"	""	""
