"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Pulldown]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 1 "	"Ab pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 2"	"Ab pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 3"	"Ab pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 4"	"Ab pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 1"	"Ab pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 2"	"Ab pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam-  biol replicate 3 "	"Ab pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam-  biol replicate 4 "	"Ab pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 1"	"Ab pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 2"	"Ab pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 3"	"Ab pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 4"	"Ab pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 1 "	"no pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 2 "	"no pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 3"	"no pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli K-12"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_83333"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam+  biol replicate 4"	"no pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 1"	"no pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 2"	"no pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 3"	"no pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli DH10B"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Dam- biol replicate 4"	"no pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 1"	"Ab pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 2"	"Ab pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 3"	"Ab pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 1"	"no pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 2"	"no pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 3"	"no pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"Xenopus laevis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/8355"	""	""	""	"testis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001363"	"Sample collection"	"Testes Xenopus biol repl 4"	"no pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 1"	"no pulldown"	""	""	"1"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 2"	"no pulldown"	""	""	"2"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 3"	"no pulldown"	""	""	"3"	""	""
"Gurdon Inst"	"blank"	""	""	""	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Water control 4"	"no pulldown"	""	""	"4"	""	""
"Gurdon Inst"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"2'-deoxyadenosine"	"CHEBI"	""	"Sample collection"	"deoxyadenosine standard"	"no pulldown"	""	""	"N/A"	""	""
"Gurdon Inst"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"N6-Methyl-2'-deoxyadenosine"	"CHEBI"	""	"Sample collection"	"methyldeoxyadenosine standard"	"no pulldown"	""	""	"N/A"	""	""
