"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Infection Status]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Taurine 15N Labeling]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Media Taurine Abundance]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glucose-6-13C Labeling]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exogenous SBPase]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exogenous BFP]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Lysate Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[SBPase Expression in Lysate]"	"Term Source REF"	"Term Accession Number"
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG1"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG2"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG3"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG4"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG5"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG6"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG7"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"ATG8"	"Infected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN1"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
"Tissue Culture"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"foreskin fibroblast"	"CL"	"http://purl.obolibrary.org/obo/CL_1001608"	"Extraction"	"AUN2"	"Uninfected Cells"	""	""	"No Labeling"	""	""	"No Added Taurine"	""	""	"No Label"	""	""	"No Exogenous SBPase Expression"	""	""	"No Exogenous BFP Expression"	""	""	"No Lysate Treatment"	""	""	"No SBPase In Lysate"	""	""
