Source Name	Characteristics [Organism]	Characteristics [StrainOrLine]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [StrainOrLine]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy5	Cy5	DNA	P-MEXP-9338	array33	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array33	D11_R_2006-03-21_B1619_0024.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D11	Salmonella enterica	Typhimurium DT104 20041481	P-TABM-2569	P-MEXP-9324	20041481	P-TABM-2568	20041481	genomic_DNA	P-MEXP-9327	20041481_Cy3	Cy3	DNA	P-MEXP-9338	array33	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20041481	array33	D11_R_2006-03-21_B1619_0024.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D6	Salmonella enterica	Typhimurium DT104 20030029	P-TABM-2569	P-MEXP-9324	20030029	P-TABM-2568	20030029	genomic_DNA	P-MEXP-9327	20030029_Cy3	Cy3	DNA	P-MEXP-9338	array18	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030029	array18	D6_R_2006-03-21_B1619_0012.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy5	Cy5	DNA	P-MEXP-9338	array18	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array18	D6_R_2006-03-21_B1619_0012.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D5	Salmonella enterica	Typhimurium DT104 20050307	P-TABM-2569	P-MEXP-9324	20050307	P-TABM-2568	20050307	genomic_DNA	P-MEXP-9327	20050307_Cy5	Cy5	DNA	P-MEXP-9338	array14	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20050307	array14	D5_F_2006-03-21_B1622_0049.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array14	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array14	D5_F_2006-03-21_B1622_0049.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D8	Salmonella enterica	Typhimurium DT104 20030323	P-TABM-2569	P-MEXP-9324	20030323	P-TABM-2568	20030323	genomic_DNA	P-MEXP-9327	20030323_Cy5	Cy5	DNA	P-MEXP-9338	array23	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030323	array23	D8_F_2006-03-15_B1622_0048.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array23	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array23	D8_F_2006-03-15_B1622_0048.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D8	Salmonella enterica	Typhimurium DT104 20030323	P-TABM-2569	P-MEXP-9324	20030323	P-TABM-2568	20030323	genomic_DNA	P-MEXP-9327	20030323_Cy3	Cy3	DNA	P-MEXP-9338	array24	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030323	array24	D8_R_2006-03-15_B1619_0013.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy5	Cy5	DNA	P-MEXP-9338	array24	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array24	D8_R_2006-03-15_B1619_0013.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
