metabolite number	metabolite name	metabolite identifier	05_UK21(normalized corrected peak area)	07_UK21(normalized corrected peak area)	13_UK21(normalized corrected peak area)	15_UK21(normalized corrected peak area)
1	13BPG-13C3[-H+]-	ME131582	4733.29	2710.35	27242.95	21100.83
2	1-Pyrroline-2-carboxylic acid-13C0[-H+]-	ME131583	32759.79	54004.34	None	None
3	1-Pyrroline-2-carboxylic acid-13C2[-H+]-	ME131584	None	4823.15	None	None
4	1-Pyrroline-2-carboxylic acid-13C3[-H+]-	ME131585	622310.82	1260519.95	31325.05	17141.82
5	2HG-13C0[-H+]-	ME131586	2141618.32	2303501.93	1699396.63	1074764.04
6	2HG-13C1[-H+]-	ME131587	None	None	None	None
7	2HG-13C2[-H+]-	ME131588	141786.88	198361.91	39307.19	13121.62
8	2HG-13C3[-H+]-	ME131589	23949.57	43761.08	6473.02	5342.80
9	2HG-13C4[-H+]-	ME131590	27547.65	38826.79	None	None
10	2HG-13C5[-H+]-	ME131591	9795.58	11907.05	None	None
11	3PG-13C0[-H+]-	ME131592	13250.50	12424.17	None	None
12	3PG-13C3[-H+]-	ME131593	818820.63	810538.46	420696.39	247077.40
13	ADP-13C0[-H+]-	ME131594	5157247.94	8995964.45	5351117.56	1769385.25
14	ADP-13C1[-H+]-	ME131595	None	None	None	None
15	ADP-13C2[-H+]-	ME131596	None	None	30532.36	16387.57
16	ADP-13C3[-H+]-	ME131597	48696.31	94242.79	45570.31	19611.33
17	ADP-13C4[-H+]-	ME131598	61936.30	106738.09	115070.46	40568.13
18	ADP-13C5[-H+]-	ME131599	3824106.17	6258774.50	6352693.26	2130189.74
19	ADP-13C6[-H+]-	ME131600	None	None	None	None
20	aKG-13C0[-H+]-	ME131601	738276.38	1051119.25	609859.08	655932.37
21	aKG-13C1[-H+]-	ME131602	None	None	None	None
22	aKG-13C2[-H+]-	ME131603	44997.93	155267.94	36539.70	12270.49
23	aKG-13C3[-H+]-	ME131604	11231.85	34548.17	6736.80	None
24	aKG-13C4[-H+]-	ME131605	13652.15	26542.72	None	None
25	aKG-13C5[-H+]-	ME131606	3409.47	8889.75	None	None
26	Aminofructose 6-phosphate-13C0[-H+]-	ME131607	135788537.12	226670628.89	80724681.51	68535789.21
27	Aminofructose 6-phosphate-13C1[-H+]-	ME131608	26910.97	777490.95	None	None
28	Aminofructose 6-phosphate-13C2[-H+]-	ME131609	None	None	None	None
29	Aminofructose 6-phosphate-13C3[-H+]-	ME131610	7288626.56	12504524.25	5888767.57	3668421.69
30	Aminofructose 6-phosphate-13C4[-H+]-	ME131611	None	None	None	None
31	Aminofructose 6-phosphate-13C6[-H+]-	ME131612	None	None	19533.59	10268.81
32	AMP-13C0[-H+]-	ME131613	5571930.19	7688065.99	7025584.86	1993842.89
33	AMP-13C1[-H+]-	ME131614	None	None	None	None
34	AMP-13C2[-H+]-	ME131615	None	None	15510.84	None
35	AMP-13C3[-H+]-	ME131616	None	None	42572.45	10558.34
36	AMP-13C4[-H+]-	ME131617	None	None	105830.00	15596.39
37	AMP-13C5[-H+]-	ME131618	1390196.66	1955641.64	6889162.94	1386765.19
38	AMP-13C6[-H+]-	ME131619	None	None	None	None
39	ATP-13C0[-H+]-	ME131620	3269462.80	6040730.81	99656.54	41451.14
40	ATP-13C1[-H+]-	ME131621	None	None	None	None
41	ATP-13C2[-H+]-	ME131622	None	None	None	None
42	ATP-13C3[-H+]-	ME131623	35279.45	54570.72	None	None
43	ATP-13C4[-H+]-	ME131624	37067.87	86063.78	None	None
44	ATP-13C5[-H+]-	ME131625	2614127.36	4669508.39	143305.32	51242.04
45	ATP-13C6[-H+]-	ME131626	None	None	None	None
46	CDP-13C0[-H+]-	ME131627	35453.90	93663.67	93870.57	64333.86
47	CDP-13C5[-H+]-	ME131628	3718.28	3671.58	16114.85	None
48	cis-Aconitate-13C0[-H+]-	ME131629	470452.62	558828.09	59481.05	28259.38
49	cis-Aconitate-13C1[-H+]-	ME131630	None	None	None	None
50	Citrate-13C0[-H+]-	ME131631	1975890.31	2463193.39	2745065.87	1855000.34
51	Citrate-13C1[-H+]-	ME131632	5128.60	88601.97	87097.55	None
52	Citrate-13C2[-H+]-	ME131633	991370.23	1695269.99	858166.85	277363.24
53	Citrate-13C3[-H+]-	ME131634	198984.00	393167.72	167060.01	49880.67
54	Citrate-13C4[-H+]-	ME131635	264446.71	571172.96	109936.32	16493.32
55	Citrate-13C5[-H+]-	ME131636	101333.47	320149.31	23715.09	4505.20
56	Citrate-13C6[-H+]-	ME131637	16293.80	47942.34	3786.84	None
57	CMP-13C0[-H+]-	ME131640	7756591.08	9388191.78	1695514.30	1256683.68
58	CMP-13C1[-H+]-	ME131641	None	None	None	None
59	CMP-13C2[-H+]-	ME131642	None	None	None	None
60	CMP-13C5[-H+]-	ME131643	135125.68	100494.01	102187.96	31091.54
61	CMP -13C6[-H+]-	ME131638	4605.22	10527.10	11964.53	1774.21
62	CMP -13C7[-H+]-	ME131639	8146.54	12571.96	13104.35	2446.43
63	CTP-13C0[-H+]-	ME131644	10629.49	14077.39	3394.92	None
64	Cyclic AMP-13C0[-H+]-	ME131645	4855113.65	6025230.63	397468.33	120966.90
65	Cyclic AMP-13C1[-H+]-	ME131646	None	None	None	None
66	Cyclic AMP-13C2[-H+]-	ME131647	None	None	None	None
67	Cyclic AMP-13C3[-H+]-	ME131648	8503.94	45816.44	None	None
68	Cyclic AMP-13C4[-H+]-	ME131649	22007.87	60476.05	None	4217.04
69	Cyclic AMP-13C5[-H+]-	ME131650	1582001.46	5710727.08	174438.10	176966.69
70	Cyclic AMP-13C6[-H+]-	ME131651	None	None	None	None
71	Cyclic AMP-13C8[-H+]-	ME131652	None	5234.05	None	None
72	Deoxycytidine-13C0[-H+]-	ME131653	1271380.99	1221223.22	1194655.07	1147708.45
73	Deoxycytidine-13C1[-H+]-	ME131654	None	None	None	None
74	Deoxycytidine-13C2[-H+]-	ME131655	70952.66	83955.72	58701.44	24605.80
75	Deoxycytidine-13C3[-H+]-	ME131656	10965.91	30876.44	None	None
76	Deoxycytidine-13C4[-H+]-	ME131657	7332.76	9361.44	None	None
77	dGDP-13C0[-H+]-	ME131658	5157247.94	8995964.45	5351117.56	1769385.25
78	dGDP-13C1[-H+]-	ME131659	None	None	None	None
79	dGDP-13C2[-H+]-	ME131660	None	None	31512.61	16432.20
80	dGDP-13C3[-H+]-	ME131661	48696.31	94242.79	45483.34	19607.37
81	dGDP-13C4[-H+]-	ME131662	61936.30	106738.09	115073.83	None
82	dGDP-13C5[-H+]-	ME131663	3824106.17	6258774.50	6352693.18	2132889.15
83	dGDP-13C6[-H+]-	ME131664	None	None	None	None
84	D-Glucuronic acid 1-phosphate-13C0[-H+]-	ME131665	5375.81	None	None	None
85	D-Glucuronic acid 1-phosphate-13C6[-H+]-	ME131666	87002.56	49800.32	6863.68	5194.53
86	dGTP-13C0[-H+]-	ME131667	3269462.80	6040730.81	99656.54	41738.93
87	dGTP-13C1[-H+]-	ME131668	None	None	None	None
88	dGTP-13C2[-H+]-	ME131669	None	None	None	None
89	dGTP-13C3[-H+]-	ME131670	35279.45	54570.72	None	None
90	dGTP-13C4[-H+]-	ME131671	37067.87	86063.78	None	None
91	dGTP-13C5[-H+]-	ME131672	2614127.36	4669508.39	143305.32	51242.04
92	dGTP-13C6[-H+]-	ME131673	None	None	None	None
93	D-Ribose and L-Arabinose-13C0[-H+]-	ME131674	106162.32	87634.09	46483.37	33250.25
94	D-Ribose and L-Arabinose-13C5[-H+]-	ME131675	272674.20	167571.64	258103.74	347505.47
95	D-Ribulose 5-phosphate -13C0[-H+]-	ME131676	123177.41	238383.44	10194.07	8254.92
96	D-Ribulose 5-phosphate -13C3[-H+]-	ME131677	5116.17	6255.61	None	None
97	D-Ribulose 5-phosphate -13C4[-H+]-	ME131678	4231.46	7477.23	None	None
98	D-Ribulose 5-phosphate -13C5[-H+]-	ME131679	816543.21	1226633.28	85693.71	49418.09
99	dTMP-13C0[-H+]-	ME131680	4416.78	None	None	None
100	D-Xylose-13C0[-H+]-	ME131681	106380.09	98330.55	50924.59	46782.82
101	D-Xylose-13C5[-H+]-	ME131682	272674.20	167571.64	258103.74	347505.47
102	E4P-13C0[-H+]-	ME131683	None	None	7434.34	None
103	E4P-13C4[-H+]-	ME131684	11708.33	20519.09	None	None
104	Erythrose-13C0[-H+]-	ME131685	929943.61	1042235.58	1016058.19	863686.46
105	Erythrose-13C4[-H+]-	ME131686	9913.58	13370.95	22403.77	12288.01
106	F16P-13C5[-H+]-	ME131687	8768.21	8477.21	None	None
107	F16P-13C6[-H+]-	ME131688	493843.95	735671.90	108431.86	31519.14
108	F26P-13C0[-H+]-	ME131689	73243.65	159754.53	400950.99	239377.56
109	F26P-13C1[-H+]-	ME131690	None	None	None	None
110	F6P-13C5[-H+]-	ME131691	None	None	21547.32	None
111	F6P-13C6[-H+]-	ME131692	183589.70	295572.35	1117247.25	667989.51
112	Fumarate-13C0[-H+]-	ME131693	2412403.21	2484271.60	1663701.73	1136898.92
113	Fumarate-13C1[-H+]-	ME131694	2703.28	None	None	None
114	Fumarate-13C2[-H+]-	ME131695	402372.42	478526.33	134223.43	27030.09
115	Fumarate-13C3[-H+]-	ME131696	189066.95	259404.45	62156.08	14248.83
116	Fumarate-13C4[-H+]-	ME131697	41690.26	43769.45	11602.93	None
117	G1P-13C0[-H+]-	ME131698	9199.04	None	64741.02	57739.86
118	G1P-13C5[-H+]-	ME131699	None	13084.44	None	None
119	G1P-13C6[-H+]-	ME131700	992950.17	1518898.93	358687.12	272002.56
120	G6P-13C0[-H+]-	ME131701	None	None	12436.03	None
121	G6P-13C4[-H+]-	ME131702	None	None	3330.29	None
122	G6P-13C5[-H+]-	ME131703	None	None	44991.70	13646.56
123	G6P-13C6[-H+]-	ME131704	511971.23	464901.46	2588341.07	1738661.90
124	GalactitolAndSorbitol-13C0[-H+]-	ME131705	1513921.17	1843139.59	4949523.76	1409996.13
125	GalactitolAndSorbitol-13C1[-H+]-	ME131706	None	None	None	None
126	GalactitolAndSorbitol-13C4[-H+]-	ME131707	None	3344.28	None	None
127	GalactitolAndSorbitol-13C5[-H+]-	ME131708	557644.31	710945.33	234590.60	89404.04
