"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"WB_060212_ASWAT_06"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 µm, 0.25 mm x 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_06"	"WB_060212_ASWAT_06.raw"	"Data transformation"	""	"WB_060212_ASWAT_06.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_07"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_07"	"WB_060212_ASWAT_07.raw"	"Data transformation"	""	"WB_060212_ASWAT_07.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_08"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_08"	"WB_060212_ASWAT_08.raw"	"Data transformation"	""	"WB_060212_ASWAT_08.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_09"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_09"	"WB_060212_ASWAT_09.raw"	"Data transformation"	""	"WB_060212_ASWAT_09.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_10"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_10"	"WB_060212_ASWAT_10.raw"	"Data transformation"	""	"WB_060212_ASWAT_10.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_11"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_11"	"WB_060212_ASWAT_11.raw"	"Data transformation"	""	"WB_060212_ASWAT_11.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_12"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_12"	"WB_060212_ASWAT_12.raw"	"Data transformation"	""	"WB_060212_ASWAT_12.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_13"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_13"	"WB_060212_ASWAT_13.raw"	"Data transformation"	""	"WB_060212_ASWAT_13.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_14"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_14"	"WB_060212_ASWAT_14.raw"	"Data transformation"	""	"WB_060212_ASWAT_14.cdf"	"Metabolite identification"	""	""
"WB_060212_ASWAT_15"	"Extraction"	""	""	""	"Chromatography"	"Thermo Electron FOCUS GC"	""	""	"TRACE TR-FAME GC (0.25 μm, 0.25 mm × 30 m, Thermo Scientific)"	"high polarity"	"Thermo Electron Flame Ionization Detector"	""	""	"250"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"WB_060212_ASWAT_15"	"WB_060212_ASWAT_15.raw"	"Data transformation"	""	"WB_060212_ASWAT_15.cdf"	"Metabolite identification"	""	""
