"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"D_blank0"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_blank0"	"D_blank0.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC0"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC0"	"D_QC0.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_QC1"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_QC1"	"D_QC1.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_blank1"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_blank1"	"D_blank1.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_2"	"D_A_2.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM2"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_2"	"D_AM_2.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP2"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_2"	"D_AP_2.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_A_4"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_A_4"	"D_A_4.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AM_4"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AM_4"	"D_AM_4.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
"D_AP_4"	"Extraction"	""	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"D_AP_4"	"D_AP_4.zip"	"Data transformation"	"DIMS_SFPM_norm.xlsx"	""	"Metabolite identification"	"DIMS_SFPM.xlsx"	"DIMS_SFPM_glog.xlsx"	"m_DIMS_mtbls210_v2_maf.tsv"
