"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"L_QC0"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC0"	"L_QC0.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC0.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_blank1"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_blank1"	"L_blank1.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_blank1.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC1"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC1"	"L_QC1.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC1.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC2"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC2"	"L_QC2.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC2.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC3"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC3"	"L_QC3.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC3.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_blank2"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_blank2"	"L_blank2.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_blank2.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_QC4"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_QC4"	"L_QC4.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_QC4.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_A_1"	"L_A_1.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_A_1.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AM_1"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AM_1"	"L_AM_1.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AM_1.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
"L_AP_1"	"Extraction"	""	"none"	""	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 System"	""	""	"Acclaim C30 (3 µm, 2.1 mm x 150 mm, Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"120-1200 "	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"L_AP_1"	"L_AP_1.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"L_AP_1.cdf"	"Metabolite identification"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"LCMS_XCMSoutput.xlsx"	"m_LCMS_mtbls210_v2_maf.tsv"
