"Sample Name"	"Protocol REF"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Nist"	"Extraction"	"1"	""	""	"1"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_001"	"VT_140528_001.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"Nist"	"Extraction"	"1"	""	""	"2"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_003"	"VT_140528_003.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"Nist"	"Extraction"	"1"	""	""	"3"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_005"	"VT_140528_005.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"1"	""	""	"4"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_007"	"VT_140528_007.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"1"	""	""	"5"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_009"	"VT_140528_009.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"1"	""	""	"6"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_011"	"VT_140528_011.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"Extraction"	"1"	""	""	"7"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_013"	"VT_140528_013.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"Extraction"	"1"	""	""	"8"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_015"	"VT_140528_015.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"Extraction"	"1"	""	""	"9"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_017"	"VT_140528_017.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975020"	"Extraction"	"1"	""	""	"10"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_019"	"VT_140528_019.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
