"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Nist"	"1"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_002"	"VT_140528_002.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"Nist"	"2"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_004"	"VT_140528_004.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"Nist"	"3"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_006"	"VT_140528_006.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"4"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_008"	"VT_140528_008.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"5"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_010"	"VT_140528_010.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"6"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_012"	"VT_140528_012.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"7"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_014"	"VT_140528_014.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"8"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_016"	"VT_140528_016.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182540"	"9"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_018"	"VT_140528_018.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975020"	"10"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_020"	"VT_140528_020.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975020"	"11"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_022"	"VT_140528_022.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975020"	"12"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_024"	"VT_140528_024.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1979561"	"13"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_026"	"VT_140528_026.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
