"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"alpha-tocopherol"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"alpha-tocopherol"	"ALPHA_TOCOPHEROL.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"chlorophyll-a"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"chlorophyll-a"	"CHLOROPHYLL_A.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"chlorophyll-b"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"chlorophyll-b"	"CHLOROPHYLL_B.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"carotenal"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"carotenal"	"INTERNAL_STD.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"lutein"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"lutein"	"LUTEIN.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"lutein-epoxide"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"lutein-epoxide"	"LUTEIN_EPOXIDE.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"neoxanthin"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"neoxanthin"	"NEOXANTHIN.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"phytoene"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"phytoene"	"PHYTOENE.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"violaxanthin"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"violaxanthin"	"VIOLAXANTHIN.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
"zeaxanthin"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"Carotenoid (C30) (3 µm, 2.1 mm x 250 mm; YMC)"	"reverse phase"	"Guard Cartridge (4.6 mm x 20 mm; YMC)"	""	""	"Agilent 1290 Infinity DAD Detector"	""	""	"200-600 nm"	""	""	"1 nm"	""	""	""	""	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"zeaxanthin"	"ZEAXANTHIN.CSV"	"Data transformation"	""	""	"Metabolite identification"	""	""
