"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Cel"	"Extraction"	""	""	"Cel_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_1-A,8_01_21040"	"Cel_1-A,8_01_21040.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"1"	""	""
"Cel"	"Extraction"	""	""	"Cel_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_1-A,8_02_21041"	"Cel_1-A,8_02_21041.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"2"	""	""
"Cel"	"Extraction"	""	""	"Cel_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_1-A,8_03_21042"	"Cel_1-A,8_03_21042.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"3"	""	""
"Cel"	"Extraction"	""	""	"Cel_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_1-A,8_04_21043"	"Cel_1-A,8_04_21043.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"4"	""	""
"Cel"	"Extraction"	""	""	"Cel_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_1-A,8_05_21044"	"Cel_1-A,8_05_21044.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"5"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_1-A,6_01_21030"	"Cer_brain_1-A,6_01_21030.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"1"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_1-A,6_02_21031"	"Cer_brain_1-A,6_02_21031.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"2"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_1-A,6_03_21032"	"Cer_brain_1-A,6_03_21032.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"3"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_1-A,6_04_21033"	"Cer_brain_1-A,6_04_21033.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"4"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_1-A,6_05_21034"	"Cer_brain_1-A,6_05_21034.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"5"	""	""
"Cer_egg"	"Extraction"	""	""	"Cer_egg_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_egg_1-A,5_01_21025"	"Cer_egg_1-A,5_01_21025.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"1"	""	""
"Cer_egg"	"Extraction"	""	""	"Cer_egg_1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_egg_1-A,5_02_21026"	"Cer_egg_1-A,5_02_21026.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_NEG_mass_spectrometry_v2_maf.tsv"	"2"	""	""
