"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Cel"	"Extraction"	""	""	"Cel_2-A,2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_AutoMS_2-A,2_01_18611"	"Cel_AutoMS_2-A,2_01_18611.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"1"	""	""
"Cel"	"Extraction"	""	""	"Cel_2-A,2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_AutoMS_2-A,2_02_18612"	"Cel_AutoMS_2-A,2_02_18612.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"2"	""	""
"Cel"	"Extraction"	""	""	"Cel_2-A,2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_AutoMS_2-A,2_03_18613"	"Cel_AutoMS_2-A,2_03_18613.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"3"	""	""
"Cel"	"Extraction"	""	""	"Cel_2-A,2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_AutoMS_2-A,2_04_18614"	"Cel_AutoMS_2-A,2_04_18614.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"4"	""	""
"Cel"	"Extraction"	""	""	"Cel_2-A,2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cel_AutoMS_2-A,2_05_18615"	"Cel_AutoMS_2-A,2_05_18615.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"5"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_2-A,3"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_AutoMS_2-A,3_01_18460"	"Cer_brain_AutoMS_2-A,3_01_18460.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"1"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_2-A,3"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_AutoMS_2-A,3_02_18461"	"Cer_brain_AutoMS_2-A,3_02_18461.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"2"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_2-A,3"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_AutoMS_2-A,3_03_18462"	"Cer_brain_AutoMS_2-A,3_03_18462.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"3"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_2-A,3"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_AutoMS_2-A,3_04_18463"	"Cer_brain_AutoMS_2-A,3_04_18463.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"4"	""	""
"Cer_brain"	"Extraction"	""	""	"Cer_brain_2-A,3"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1500"	"Bruker maXis UHR-ToF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Cer_brain_AutoMS_2-A,3_05_18464"	"Cer_brain_AutoMS_2-A,3_05_18464.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls291_POS_mass_spectrometry_v2_maf.tsv"	"5"	""	""
