"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"WT_ZL_01_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_01_Neg"	"1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"WT_ZL_01_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_01_Pos"	"1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"WT_ZL_02_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_02_Neg"	"2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"WT_ZL_02_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_02_Pos"	"2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"WT_ZL_03_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_03_Neg"	"3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"WT_ZL_03_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"WT_ZL_03_Pos"	"3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Palm_ZL_01_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_01_Neg"	"1"	"palmitate"	""	""
"Palm_ZL_01_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_01_Pos"	"1"	"palmitate"	""	""
"Palm_ZL_02_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_02_Neg"	"2"	"palmitate"	""	""
"Palm_ZL_02_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_02_Pos"	"2"	"palmitate"	""	""
"Palm_ZL_03_Neg"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_03_Neg"	"3"	"palmitate"	""	""
"Palm_ZL_03_Pos"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"Palm_ZL_03_Pos"	"3"	"palmitate"	""	""
