"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Technical Replicate Number]"	"Term Source REF"	"Term Accession Number"
"Polar_Metabolites_Mat_Sample_1_A_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_A_1"	"Polar_Metabolites_Mat_Sample_01_A_1.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_A_1.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"1"	""	""
"Polar_Metabolites_Mat_Sample_1_A_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_A_2"	"Polar_Metabolites_Mat_Sample_01_A_2.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_A_2.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"2"	""	""
"Polar_Metabolites_Mat_Sample_1_B_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_B_1"	"Polar_Metabolites_Mat_Sample_01_B_1.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_B_1.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"1"	""	""
"Polar_Metabolites_Mat_Sample_1_B_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_B_2"	"Polar_Metabolites_Mat_Sample_01_B_2.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_B_2.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"2"	""	""
"Polar_Metabolites_Mat_Sample_1_C_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_C_1"	"Polar_Metabolites_Mat_Sample_01_C_1.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_C_1.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"1"	""	""
"Polar_Metabolites_Mat_Sample_1_C_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_1_C_2"	"Polar_Metabolites_Mat_Sample_01_C_2.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_01_C_2.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"2"	""	""
"Polar_Metabolites_Mat_Sample_2_A_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_2_A_1"	"Polar_Metabolites_Mat_Sample_02_A_1.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_02_A_1.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"1"	""	""
"Polar_Metabolites_Mat_Sample_2_A_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_2_A_2"	"Polar_Metabolites_Mat_Sample_02_A_2.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_02_A_2.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"2"	""	""
"Polar_Metabolites_Mat_Sample_2_B_1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_2_B_1"	"Polar_Metabolites_Mat_Sample_02_B_1.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_02_B_1.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"1"	""	""
"Polar_Metabolites_Mat_Sample_2_B_2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50–550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Polar_Metabolites_Mat Sample_2_B_2"	"Polar_Metabolites_Mat_Sample_02_B_2.D.zip"	"Data transformation"	""	"Polar_Metabolites_Mat_Sample_02_B_2.CDF"	"Metabolite identification"	""	"m_bPolar_mtbls187_v2_maf.tsv"	"2"	""	""
