"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"6312if_13"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_13"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_13"	"6312if_13"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_20"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_20"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_20"	"6312if_20"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_27"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_27"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_27"	"6312if_27"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_34"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_34"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_34"	"6312if_34"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_41"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_41"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_41"	"6312if_41"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_47"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_47"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_47"	"6312if_47"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_6"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_6"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_6"	"6312if_6"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_14"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_14"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_14"	"6312if_14"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_21"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_21"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_21"	"6312if_21"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
"6312if_28"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6312if_28"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6312if_28"	"6312if_28"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (B)_v2_maf.tsv"
