"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Pooled]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Biological replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R1"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"0"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_SH87_QC_PosLipid_dataS00R2"	"CHOK1_SH87"	""	""	"Yes"	""	""	"3"	""	""	"1"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_PosLipid_dataS03R1"	"SH87"	""	""	"No"	""	""	"6"	""	""	"2"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_PosLipid_dataS03R2"	"SH87"	""	""	"No"	""	""	"6"	""	""	"3"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_PosLipid_dataS03R3"	"SH87"	""	""	"No"	""	""	"6"	""	""	"4"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"SH87_C_PosLipid_dataS03R4"	"SH87"	""	""	"No"	""	""	"6"	""	""	"5"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_PosLipid_dataS05R1"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"6"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_PosLipid_dataS05R2"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"7"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_PosLipid_dataS05R3"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"8"	""	""
"Pos mode batch"	"Cricetulus griseus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10029"	"CHO-K1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000457"	"Sample collection"	"CHOK1_B_PosLipid_dataS05R4"	"CHOK1"	""	""	"No"	""	""	"1"	""	""	"9"	""	""
