Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Provider	Characteristics [cell type]	Term Source REF	Term Accession Number	Characteristics [material type]	Term Source REF	Term Accession Number	Characteristics [nsaid treatment]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [race]	Term Source REF	Term Accession Number	Characteristics [sex]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [nsaid treatment]	Term Source REF	Term Accession Number	FactorValue [time]
GSM1442227 1	Pretreatment with rofecoxib, sampled after 24 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 24 hr IL-1beta exposure	hasmc_rofecoxib_tp24hr_biological rep4	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442227 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442227 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442227	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442227_RC51_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442227_sample_table.txt norm	GSM1442227_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	24
GSM1442226 1	Pretreatment with rofecoxib, sampled after 24 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 24 hr IL-1beta exposure	hasmc_rofecoxib_tp24hr_biological rep3	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442226 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442226 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442226	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442226_RC38_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442226_sample_table.txt norm	GSM1442226_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	24
GSM1442225 1	Pretreatment with rofecoxib, sampled after 24 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 24 hr IL-1beta exposure	hasmc_rofecoxib_tp24hr_biological rep2	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442225 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442225 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442225	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442225_RC25_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442225_sample_table.txt norm	GSM1442225_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	24
GSM1442224 1	Pretreatment with rofecoxib, sampled after 24 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 24 hr IL-1beta exposure	hasmc_rofecoxib_tp24hr_biological rep1	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442224 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442224 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442224	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442224_RC12_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442224_sample_table.txt norm	GSM1442224_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	24
GSM1442223 1	Pretreatment with rofecoxib, sampled after 8 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 8 hr IL-1beta exposure	hasmc_rofecoxib_tp8hr_biological rep4	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442223 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442223 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442223	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442223_RC9_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442223_sample_table.txt norm	GSM1442223_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	8
GSM1442222 1	Pretreatment with rofecoxib, sampled after 8 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 8 hr IL-1beta exposure	hasmc_rofecoxib_tp8hr_biological rep3	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442222 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442222 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442222	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442222_RC48_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442222_sample_table.txt norm	GSM1442222_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	8
GSM1442221 1	Pretreatment with rofecoxib, sampled after 8 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 8 hr IL-1beta exposure	hasmc_rofecoxib_tp8hr_biological rep2	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442221 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442221 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442221	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442221_RC35_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442221_sample_table.txt norm	GSM1442221_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	8
GSM1442220 1	Pretreatment with rofecoxib, sampled after 8 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 8 hr IL-1beta exposure	hasmc_rofecoxib_tp8hr_biological rep1	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442220 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442220 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442220	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442220_RC22_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442220_sample_table.txt norm	GSM1442220_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	8
GSM1442219 1	Pretreatment with rofecoxib, sampled after 2 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 2 hr IL-1beta exposure	hasmc_rofecoxib_tp2hr_biological rep4	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442219 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442219 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442219	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442219_RC6_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442219_sample_table.txt norm	GSM1442219_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	2
GSM1442218 1	Pretreatment with rofecoxib, sampled after 2 h IL-1beta exposure	human aortic smc, 2hr rofecoxib exposure, 2 hr IL-1beta exposure	hasmc_rofecoxib_tp2hr_biological rep3	Lonza	aortic smooth muscle cell	EFO	EFO_0002775	primary cell	EFO	EFO_0002660	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	White	EFO	EFO_0003156	male	EFO	EFO_0001266	P-GSE59671-2	ArrayExpress	P-GSE59671-3	ArrayExpress	P-GSE59671-4	ArrayExpress	GSM1442218 extract 1	total RNA	P-GSE59671-5	ArrayExpress	GSM1442218 LE 1	biotin	P-GSE59671-6	ArrayExpress	GSM1442218	A-AFFY-37	ArrayExpress	array assay	P-GSE59671-7	ArrayExpress	GSM1442218_RC45_U133Av2.0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.raw.1.zip	P-GSE59671-1	ArrayExpress	GSM1442218_sample_table.txt norm	GSM1442218_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59671/E-GEOD-59671.processed.1.zip	rofecoxib	EFO	http://purl.obolibrary.org/obo/CHEBI_8887	2
