"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"YeRC1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C01"	"YeR_LCMS_C01.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC2"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C02"	"YeR_LCMS_C02.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC3"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C03"	"YeR_LCMS_C03.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC4"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C04"	"YeR_LCMS_C04.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC5"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C05"	"YeR_LCMS_C05.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC6"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C06"	"YeR_LCMS_C06.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC7"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C07"	"YeR_LCMS_C07.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC8"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C08"	"YeR_LCMS_C08.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC9"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C09"	"YeR_LCMS_C09.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
"YeRC10"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YeR_LCMS_C10"	"YeR_LCMS_C10.raw"	"Data transformation"	"LCMS_SFPM_norm.xlsx"	"LCMS_SFPM.xlsx"	"LCMS_SFPM_glog.xlsx"	"Metabolite identification"	"LCMS_XCMS.xlsx"	"m_mtbls336_LCMS_metabolite_profiling_v2_maf.tsv"
