"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Cartridge type]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_1_neg_GC"	"20150825_1_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_2_neg_GC"	"20150825_2_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"3"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_3_neg_GC"	"20150825_3_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"4"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_4_neg_GC"	"20150825_4_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"5"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_5_neg_GC"	"20150825_5_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"6"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_6_neg_GC"	"20150825_6_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"7"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_7_neg_GC"	"20150825_7_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"8"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_8_neg_GC"	"20150825_8_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"9"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_9_neg_GC"	"20150825_9_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"10"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_10_neg_GC"	"20150825_10_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"11"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_11_neg_GC"	"20150825_11_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"12"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_12_neg_GC"	"20150825_12_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"15"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_15_neg_GC"	"20150825_15_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"16"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_16_neg_GC"	"20150825_16_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"17"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_17_neg_GC"	"20150825_17_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"18"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_18_neg_GC"	"20150825_18_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"19"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_19_neg_GC"	"20150825_19_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"20"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_20_neg_GC"	"20150825_20_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"22"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_22_neg_GC"	"20150825_22_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"23"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_23_neg_GC"	"20150825_23_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
