Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
1	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_1_neg_HL	20150826_1_neg_HL.d	Data transformation			Metabolite identification		
2	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_2_neg_HL	20150826_2_neg_HL.d	Data transformation			Metabolite identification		
3	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_3_neg_HL	20150826_3_neg_HL.d	Data transformation			Metabolite identification		
4	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_4_neg_HL	20150826_4_neg_HL.d	Data transformation			Metabolite identification		
5	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_5_neg_HL	20150826_5_neg_HL.d	Data transformation			Metabolite identification		
6	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_6_neg_HL	20150826_6_neg_HL.d	Data transformation			Metabolite identification		
7	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_7_neg_HL	20150826_7_neg_HL.d	Data transformation			Metabolite identification		
8	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_8_neg_HL	20150826_8_neg_HL.d	Data transformation			Metabolite identification		
9	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_9_neg_HL	20150826_9_neg_HL.d	Data transformation			Metabolite identification		
10	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_10_neg_HL	20150826_10_neg_HL.d	Data transformation			Metabolite identification		
