"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"CON_BASA_567795"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_567795"	"C18_CON_BASA_567795.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_574488"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_574488"	"C18_CON_BASA_574488.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_580552"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_580552"	"C18_CON_BASA_580552.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_581904"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_581904"	"C18_CON_BASA_581904.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_587625"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_587625"	"C18_CON_BASA_587625.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_591439"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_591439"	"C18_CON_BASA_591439.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_602733"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_602733"	"C18_CON_BASA_602733.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_619640"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_619640"	"C18_CON_BASA_619640.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_651137"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_651137"	"C18_CON_BASA_651137.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
"CON_BASA_675644"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1290 Infinity UHPLC"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80-1200"	"Agilent 6550 iFunnel Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"CON_BASA_675644"	"C18_CON_BASA_675644.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv"
