"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Nitrogen deprivation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Chlamy_1_0h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_0h_1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_0h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_0h_1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_0h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_0h_1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_30m_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_30m_1"	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_30m_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_30m_1"	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_1h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_1h_1"	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_2_1h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_2_1h_1"	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_3_1h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_3_1h_1"	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_4_1h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_4_1h_1"	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Chlamy_1_2h_1"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"Chlamydomonas reinhardtii str. CC-400 cw15 mt+"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Chlamy_1_2h_1"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
