"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A_1"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_2"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se2.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_3"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se3.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_4"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se4.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_5"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se5.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_6"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se6.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_7"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se7.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_8"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se8.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_10"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se10.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A_11"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters ACQUITY UPLC Sample Organizer"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"200–1200"	"Waters Q-Tof Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	""	"163MC_Se11.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_breastcancerlipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
