"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"GC-qMS_01"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_01"	"GC-qMS_01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_02"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_02"	"GC-qMS_02.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_03"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_03"	"GC-qMS_03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_04"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_04"	"GC-qMS_04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_05"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_05"	"GC-qMS_05.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_06"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_06"	"GC-qMS_06.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_07"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_07"	"GC-qMS_07.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_08"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_08"	"GC-qMS_08.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_09"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_09"	"GC-qMS_09.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_10"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_10"	"GC-qMS_10.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_11"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_11"	"GC-qMS_11.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_12"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_12"	"GC-qMS_12.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_13"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_13"	"GC-qMS_13.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
"GC-qMS_14"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-qMS_14"	"GC-qMS_14.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_Q_mass_spectrometry_v2_maf.tsv"
