"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BRB01C"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB01C"	"BRB01C.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB01C 7 NEG TOP - 2014-08-14 04.06.17.ndpi"	""	""	"BRB01C.tif"	""	""	"Data transformation"	""	"BRB01C.imzML"	"Metabolite identification"	""	""
"BRB01E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB01E"	"BRB01E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB01E 3 NEG BOTTOM - 2014-08-14 17.07.20.ndpi"	""	""	"BRB01E.tif"	""	""	"Data transformation"	""	"BRB01E.imzML"	"Metabolite identification"	""	""
"BRB01N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB01N"	"BRB01N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB01N 3 NEG BOTTOM - 2014-08-14 17.36.37.ndpi"	""	""	"BRB01N.tif"	""	""	"Data transformation"	""	"BRB01N.imzML"	"Metabolite identification"	""	""
"BRB01S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB01S"	"BRB01S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB01S 2 NEG BOTTOM - 2014-08-14 17.29.31.ndpi"	""	""	"BRB01S.tif"	""	""	"Data transformation"	""	"BRB01S.imzML"	"Metabolite identification"	""	""
"BRB01W"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB01W"	"BRB01W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB01W 4 NEG BOTTOM - 2014-08-14 17.34.52.ndpi"	""	""	"BRB01W.tif"	""	""	"Data transformation"	""	"BRB01W.imzML"	"Metabolite identification"	""	""
"BRB03N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB03N"	"BRB03N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB03N 4 NEG TOP - 2014-08-14 17.03.08.ndpi"	""	""	"BRB03N.tif"	""	""	"Data transformation"	""	"BRB03N.imzML"	"Metabolite identification"	""	""
"BRB03S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB03S"	"BRB03S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB03S 4 NEG MIDDLE - 2014-08-14 18.22.17.ndpi"	""	""	"BRB03S.tif"	""	""	"Data transformation"	""	"BRB03S.imzML"	"Metabolite identification"	""	""
"BRB03W1"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB03W1"	"BRB03W1.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB03W 2 NEG BOTTOM - 2014-08-14 18.04.07.ndpi"	""	""	"BRB03W1.tif"	""	""	"Data transformation"	""	"BRB03W1.imzML"	"Metabolite identification"	""	""
"BRB03W2"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB03W2"	"BRB03W2.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB03WZ 5 NEG BOTTOM - 2014-08-14 18.26.11.ndpi"	""	""	"BRB03W2.tif"	""	""	"Data transformation"	""	"BRB03W2.imzML"	"Metabolite identification"	""	""
"BRB04C"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB04C"	"BRB04C.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB04C 5 NEG BOTTOM - 2014-08-14 04.12.59.ndpi"	""	""	"BRB04C.tif"	""	""	"Data transformation"	""	"BRB04C.imzML"	"Metabolite identification"	""	""
