"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"FD002"	"Extraction"	""	""	"INT_CH_FD002"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD002"	"FD002.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD003"	"Extraction"	""	""	"INT_CH_FD003"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD003"	"FD003.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD004"	"Extraction"	""	""	"INT_CH_FD004"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD004"	"FD004.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD005"	"Extraction"	""	""	"INT_CH_FD005"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD005"	"FD005.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD006"	"Extraction"	""	""	"INT_CH_FD006"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD006"	"FD006.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD007"	"Extraction"	""	""	"INT_CH_FD007"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD007"	"FD007.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD008"	"Extraction"	""	""	"MOT_KT_FD008"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD008"	"FD008.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD009"	"Extraction"	""	""	"MOT_KT_FD009"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD009"	"FD009.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD010"	"Extraction"	""	""	"MOT_KT_FD010"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD010"	"FD010.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FD011"	"Extraction"	""	""	"MOT_KT_FD011"	"Chromatography"	"Waters ACQUITY UPLC system and PDA detector"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Waters LCT Premier"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FD011"	"FD011.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_ficus_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
