"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Bicarbonate treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light condition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Bicarbonate concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Incubation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_60_1"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_60_2"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_60_3"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_60_4"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_120_1"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_120_2"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_120_3"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_D_120_4"	"C"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_0_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_0_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_0_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_0_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_5_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_5_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_5_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_5_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_15_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_15_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_15_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_15_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_30_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_30_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_30_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_30_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_60_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_60_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_60_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_60_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_120_1"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_120_2"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_120_3"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AS_1mM_D_120_4"	"T"	""	""	"D"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_L_0_1"	"C"	""	""	"L"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_L_0_2"	"C"	""	""	"L"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Suspension cells"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana var. Landsberg Erecta"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"AC_1mM_L_0_3"	"C"	""	""	"L"	""	""	"1"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
