"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"6308if_12"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_12"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_12"	"6308if_12"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_19"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_19"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_19"	"6308if_19"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_26"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_26"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_26"	"6308if_26"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_38"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_38"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_38"	"6308if_38"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_45"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_45"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_45"	"6308if_45"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_5"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_5"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_5"	"6308if_5"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_52"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_52"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_52"	"6308if_52"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_13"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_13"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_13"	"6308if_13"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_20"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_20"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_20"	"6308if_20"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
"6308if_27"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6308if_27"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6308if_27"	"6308if_27"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on the model legume Lotus japonicus (A)_v2_maf.tsv"
