"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"
"Maloyan_25679"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_25679"	"Restricted"	""	""	"Female"	""	""
"Maloyan_25680"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_25680"	"Restricted"	""	""	"Female"	""	""
"Maloyan_26699"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_26699"	"Restricted"	""	""	"Male"	""	""
"Maloyan_26990"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_26990"	"Restricted"	""	""	"Male"	""	""
"Maloyan_26991"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_26991"	"Control"	""	""	"Male"	""	""
"Maloyan_27049"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27049"	"Control"	""	""	"Female"	""	""
"Maloyan_27133"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27133"	"Control"	""	""	"Female"	""	""
"Maloyan_27188"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27188"	"Control"	""	""	"Male"	""	""
"Maloyan_27189"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27189"	"Control"	""	""	"Female"	""	""
"Maloyan_27365"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27365"	"Restricted"	""	""	"Female"	""	""
"Maloyan_27648"	"Papio anubis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9555"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"Maloyan_27648"	"Restricted"	""	""	"Female"	""	""
