"Sample Name"	"Protocol REF"	"Parameter Value[library strategy]"	"Parameter Value[library source]"	"Parameter Value[library selection]"	"Parameter Value[library layout]"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[read information {index;type;class;base coord}]"	"Parameter Value[sequencing instrument]"	"Performer"	"Date"	"Assay Name"	"Raw Data File"	"Comment[File checksum]"	"Comment[File checksum method]"
"SRS494979"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494979"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369453"	""	""	"md5"
"SRS494980"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494980"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369454"	""	""	"md5"
"SRS494981"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494981"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369455"	""	""	"md5"
"SRS494982"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494982"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369456"	""	""	"md5"
"SRS494983"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494983"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369457"	""	""	"md5"
"SRS494984"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494984"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369458"	""	""	"md5"
"SRS494985"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494985"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369459"	""	""	"md5"
"SRS494986"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494986"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369460"	""	""	"md5"
"SRS494987"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494987"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369461"	""	""	"md5"
"SRS494988"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494988"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369462"	""	""	"md5"
"SRS494989"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494989"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369463"	""	""	"md5"
"SRS494990"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494990"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369464"	""	""	"md5"
"SRS494991"	"library preparation"	"WGS"	"GENOMIC"	"RANDOM"	"single"	"SRS494991"	"nucleic acid sequencing"	{0;Application Read;Forward;1}	"Illumina HiSeq 2000"	""	""	"SRX369465"	""	""	"md5"
