"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[tumor and non tumor renal cell line]"	"Term Source REF"	"Term Accession Number"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_2.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_2.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_2.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_2.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_3.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_3.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_3.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_3.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_4.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_4.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_4.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_4.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_5.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_5.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_5.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_5.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_6.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_6.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_6.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_6.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_7.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_7.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_7.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_7.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_8.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_8.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_8.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_8.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_9.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_9.1.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_9.2.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_9.2.2"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
"CM_HEK-293"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"kidney cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000067"	"Culture Media, Conditioned"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D017077"	"Sample Collection"	"H_10.1.1"	"HEK-293 cell"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"immortal cell line cell"	"EFO"	"http://purl.obolibrary.org/obo/CL_0000002"
