bucket [0.04 ppm]	JGHw1dc1.MAS_1_1	JGHw1dc2.MAS_1_1	JGHw1dc3.MAS_1_1	JGHw1do1.MAS_1_1	JGHw1do2.MAS_2_1	JGHw1do3.MAS_1_1	JGHw2do1.MAS_1_1	JGHw2do2.MAS_1_1	JGHw2do3.MAS_1_1	JGHw3do1.MAS_1_1	JGHw3do2.MAS_1_1	JGHw3do3.MAS_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1	JGham14o4.txi_1_1	JGHk1dc1.MAS_1_1	JGHk1dc2.MAS_1_1	JGHk1dc3.MAS_1_1	JGHk1do1.MAS_1_1	JGHk1do2.MAS_1_1	JGHk1do3.MAS_1_1	JGHk2do1.MAS_1_1	JGHk2do2.MAS_1_1	JGHk2do3.MAS_1_1	JGHk3do1.MAS_1_1	JGHk3do2.MAS_1_1	JGHk3do3.MAS_1_1
8.98	-0.0161	0.0996	0.1428	0.2962	-0.2351	0.054	0.065	0.2998	0.2135	-0.068	0.2396	0.0984	0.3267	0.0553	0.1502	0.1051	0.1179	0.362	0.2521	0.1084	0.15	-0.0936	0.3303	-0.6457	0.189	0.2076	0.1652	0.1851	0.0198	-0.0038	0.1925
8.94	0.1118	0.2192	0.2322	0.373	-0.1459	0.118	0.1683	0.3764	0.2976	-0.0246	0.2724	0.1655	0.75	0.4739	0.5838	0.3181	0.3542	0.6317	0.6058	0.1959	0.2602	-0.0082	0.4485	-0.4958	0.2633	0.3017	0.2838	0.2844	0.1109	0.1003	0.2786
8.9	0.0108	0.1376	0.1724	0.3352	-0.2091	0.0642	0.1055	0.3204	0.2504	-0.0404	0.2493	0.1197	0.4262	-0.0409	0.1168	0.0811	0.0616	0.3107	0.1938	0.1316	0.1881	-0.1039	0.3778	-0.5636	0.1974	0.2423	0.2415	0.2035	0.0133	0.0412	0.2051
8.86	0.0166	0.1421	0.1851	0.3517	-0.1914	0.0871	0.1069	0.3202	0.253	-0.005	0.2688	0.1295	0.3632	0.0602	0.2168	0.245	0.1381	0.4654	0.3063	0.1455	0.2199	-0.0818	0.3895	-0.463	0.2026	0.2605	0.2305	0.1942	0.0187	0.1005	0.2361
8.82	0.0431	0.1541	0.1821	0.3709	-0.1841	0.1153	0.1317	0.3335	0.2672	0.0159	0.2722	0.1359	0.3694	0.0621	0.1847	0.2154	0.1379	0.4038	0.2973	0.165	0.2381	-0.0568	0.4257	-0.4194	0.2355	0.2558	0.2528	0.2041	0.0132	0.0767	0.2432
8.78	0.0243	0.1676	0.1878	0.3729	-0.1535	0.0961	0.1326	0.3387	0.2695	0.0147	0.2777	0.1398	0.3396	0.0804	0.1716	0.1791	0.1508	0.431	0.259	0.1692	0.2409	-0.0752	0.4304	-0.529	0.2386	0.2718	0.2342	0.2241	0.0261	0.0565	0.2586
8.74	0.0839	0.1966	0.2317	0.4397	-0.1105	0.1249	0.1692	0.3871	0.3135	0.0658	0.3489	0.1848	0.3887	0.3461	0.3549	0.288	0.3264	0.6153	0.4511	0.2167	0.2732	0.0025	0.4751	-0.3901	0.2679	0.3264	0.314	0.2848	0.0541	0.1389	0.3133
8.7	0.1533	0.2447	0.284	0.4741	-0.0931	0.1579	0.1836	0.4145	0.3287	0.0705	0.312	0.1789	0.7626	0.3942	0.4914	0.2855	0.3224	0.5656	0.4528	0.2513	0.3265	0.0689	0.5195	-0.3541	0.2897	0.3414	0.3365	0.332	0.0638	0.092	0.3178
8.66	0.0702	0.1978	0.2384	0.4178	-0.1418	0.1301	0.1453	0.3654	0.2951	0.059	0.3148	0.1573	0.4188	0.3274	0.2591	0.2572	0.3248	0.5302	0.3073	0.1807	0.2882	-0.0271	0.4616	-0.4254	0.2458	0.294	0.2777	0.2441	-0.0082	0.1301	0.2932
8.62	0.0618	0.176	0.2268	0.4338	-0.1348	0.1298	0.1676	0.3894	0.2999	0.0966	0.3173	0.1713	2.0044	2.1654	2.0079	1.3829	1.13	1.4768	1.1375	0.2052	0.287	0.0096	0.4523	-0.4178	0.2718	0.3165	0.2864	0.2739	0.0175	0.1199	0.3006
