"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"1"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1"	"1neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"2"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"2"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"2"	"2neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"3"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"3"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"3"	"3neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"4"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"4"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"4"	"4neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"5"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"5"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"5"	"5neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"6"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"6"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"6"	"6neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"7"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"7"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"7"	"7neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"8"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"8"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"8"	"8neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"9"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"9"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"9"	"9neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
"10"	"Extraction"	"1.5 ml ethanol/water, 70/30 (v/v)"	"none"	"10"	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"reverse phase"	"SecurityGuard C18 (2 mm x 4 mm; Phenomenex)"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	"150-2000"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"10"	"10neg.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls445_NEG_mass_spectrometry_v2_maf.tsv"
