"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[stress]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[geneknockout]"	"Term Source REF"	"Term Accession Number"
"B11"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B12"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"2"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
"B13"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"3"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B14"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"4"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B15"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"5"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B16"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B17"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"7"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B18"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"8"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.2"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B19"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"9"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"mutant strain"	""	""
"B110"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"10"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"0.4"	"milligram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000176"	"wild type genotype"	""	""
